kreisnr;kreisname;bundesland;einwohner;junge;alte;einkommen;wahlberechtigte;waehler;ungueltige;gueltige;Union;SPD;Gruene;Linke;AFD;FDP;DIEM25;Volt
3153;Goslar;Niedersachsen;137600;18.2;34.2;20269;107480;62887;512;62375;17944;15234;10752;2448;6408;3051;133;310
3154;Helmstedt;Niedersachsen;91700;17.8;30.4;22604;73182;42754;326;42428;13022;10514;6885;1470;3895;2101;91;167
3155;Northeim;Niedersachsen;133000;17;32.6;21284;107549;60359;368;59991;16764;16429;11405;1930;4877;2959;110;237
3157;Peine;Niedersachsen;133400;17.7;27.9;21203;103605;64184;422;63762;16991;16667;12304;2229;5936;2930;128;322
3158;Wolfenbüttel;Niedersachsen;120400;17.8;30.3;21556;96324;62079;430;61649;17029;14372;13082;2185;5510;3037;128;328
3159;Göttingen;Niedersachsen;328000;22.6;28.9;20264;253353;152704;767;151937;38909;33883;38408;6650;10309;6862;831;1351
3241;Region Hannover;Niedersachsen;1152700;21.4;27.1;20977;844666;540344;2944;537400;132329;112036;140556;23978;43420;26320;2135;3614
3251;Diepholz;Niedersachsen;216000;17.9;28.8;22469;169375;105411;748;104663;33708;21150;22483;3539;7849;6574;196;425
3252;Hameln-Pyrmont;Niedersachsen;148300;17.2;32.5;21292;116288;67945;414;67531;19200;15754;13908;2609;6648;3180;141;279
3254;Hildesheim;Niedersachsen;276600;19.5;29.9;20609;217018;135480;663;134817;37713;31123;30585;5024;11272;6048;307;626
3255;Holzminden;Niedersachsen;71100;17.7;33.3;20573;55950;33503;372;33131;9913;9336;5508;924;2759;1902;43;100
3256;Nienburg (Weser);Niedersachsen;121500;18.3;29;20356;94437;53563;379;53184;17382;11551;10759;1657;4600;2553;116;203
3257;Schaumburg;Niedersachsen;157900;17.3;31.2;21404;124384;72988;404;72584;20075;17481;15793;2296;6544;3234;150;305
3351;Celle;Niedersachsen;178800;18.2;30;20291;139071;83717;506;83211;26926;15018;16505;2702;9092;4657;186;355
3352;Cuxhaven;Niedersachsen;198100;16.7;32.1;21012;158210;97904;864;97040;36576;19954;17488;3275;7844;3709;139;354
3353;Harburg;Niedersachsen;251500;17;28.4;24798;199955;133026;919;132107;38087;21525;34668;4400;11360;7935;408;771
3354;Lüchow-Dannenberg;Niedersachsen;48400;15.2;35.2;19529;39160;23088;149;22939;6175;3915;6558;1269;1710;896;107;91
