Zulassungsbezirk;Insgesamt;Benzin;Diesel;Gas;Hybrid.insgesamt;Hybrid.Plug-in;Elektro
05113  ESSEN,STADT;285071;201491;77238;4662;1394;332;234
05114  KREFELD,STADT;117025;80198;33748;2485;497;97;75
05116  MOENCHENGLADBACH,STADT;135634;92570;39506;2839;603;96;86
05117  MUELHEIM A.D.RUHR,STADT;92119;66136;24104;1328;461;78;80
05119  OBERHAUSEN,STADT;109180;80704;25833;2164;421;57;42
05120  REMSCHEID,STADT;60429;42210;17080;794;290;41;38
05122  SOLINGEN,STADT;90324;63933;24431;1237;513;83;196
05124  WUPPERTAL,STADT;169174;117071;48524;2425;919;170;186
05154  KLEVE;187126;109043;70188;7085;670;119;109
05158  METTMANN;290941;196110;88882;3741;1869;274;296
05162  NEUSS;267366;179722;81811;4029;1514;200;233
05166  VIERSEN;183993;120893;57092;5268;584;89;115
05170  WESEL;279944;188922;82141;7597;1073;158;169
05314  BONN,STADT;174764;99680;72256;1566;1072;225;165
05315  KOELN,STADT;480332;308304;161866;5378;3888;586;750
05316  LEVERKUSEN,STADT;88690;60824;25991;1160;649;107;53
05334  AACHEN, STAEDTEREGION;287299;187577;91873;6057;1367;221;381
05358  DUEREN;157706;104337;49927;2713;562;74;115
05362  RHEIN-ERFT-KREIS;272996;186603;81221;3535;1346;165;194
05366  EUSKIRCHEN;127211;80782;43736;2093;468;54;101
05370  HEINSBERG;154823;95280;53396;5373;635;68;116
05374  OBERBERGISCHER KREIS;173064;113575;56364;2212;714;134;156
05378  RHEIN.-BERGISCHER KREIS;176267;120979;51802;2210;1085;144;164
05382  RHEIN-SIEG-KREIS;357167;239402;109993;5290;2099;243;307
05512  BOTTROP,STADT;66709;49839;15226;1319;282;40;35
05513  GELSENKIRCHEN,STADT;120310;88383;28879;2437;538;78;64
05515  MUENSTER,STADT;143295;88939;51462;1975;693;193;196
05554  BORKEN;216709;124476;85428;6041;574;148;163
05558  COESFELD;135244;83512;48354;2519;734;88;109
05562  RECKLINGHAUSEN;345573;249347;88095;6270;1601;184;199
05566  STEINFURT;263751;163458;94765;4343;948;136;208
05570  WARENDORF;166325;107904;55184;2552;554;105;111
05711  BIELEFELD,STADT;165841;108362;54127;2102;829;136;389
05754  GUETERSLOH;221105;144085;73501;2607;644;144;234
05758  HERFORD;157916;108476;46617;2052;588;108;146
05762  HOEXTER;86928;56114;29137;1372;215;40;76
05766  LIPPE;211061;140734;66245;3161;648;131;215
05770  MINDEN-LUEBBECKE;196750;132668;60456;2688;741;140;163
05774  PADERBORN;176361;110685;61825;2895;707;144;228
05911  BOCHUM,STADT;193299;139478;49851;2689;1065;393;194
05913  DORTMUND,STADT;282290;196743;80198;3824;1265;292;224
05914  HAGEN,STADT;95817;68064;26145;1070;421;76;102
05915  HAMM,STADT;94609;65638;27341;1244;303;59;71
05916  HERNE,STADT;75676;56394;17535;1402;289;41;40
05954  ENNEPE-RUHR-KREIS;194674;138555;52393;2698;823;152;169
05958  HOCHSAUERLANDKREIS;162126;103042;56667;1773;499;90;120
05962  MAERKISCHER KREIS;247482;169786;73417;2895;1189;174;153
