StadtID;Einwohner;Haushaltseinkommen;Bruttoverdienst;Medianeinkommen;Medianeinkommen Frauen;Medianeinkommen Männer;Medianeinkommen Diffferenz
ID 7138;180655;1871,3;2422,3;2945;2588;3111;523
ID 7140;102529;1830,1;2299,2;2830;2267;2985;718
ID 7141;123543;1825,2;2296,8;2839;2591;2960;369
ID 7143;200302;1899,4;2271,9;2810;2321;2948;627
ID 7211;114914;1652;2423,3;2992;2705;3183;478
ID 7231;111828;1958,1;2282,3;2759;2345;2910;565
ID 7232;97180;1775,9;2312;2901;2345;3071;726
ID 7233;60794;1754,1;2207,3;2743;2224;2903;679
ID 7235;147999;1825,7;1976,7;2729;2328;2858;530
ID 7311;48363;1659,8;3195;3445;2803;3801;998
ID 7312;98520;1570,7;2616,2;3240;2826;3445;619
ID 7313;45362;1745,6;2362,7;2841;2669;2948;279
ID 7314;164718;1526,9;3711;4330;3338;4690;1352
ID 7315;209779;1725,3;2869,2;3410;3166;3627;461
ID 7316;52999;2045,1;2237,4;2745;2571;2864;293
ID 7317;40125;1639,6;2323,3;2876;2556;3032;476
ID 7318;50284;1920;2665,2;3176;2899;3371;472
ID 7319;82102;1654,3;2461,9;2966;2659;3126;467
ID 7320;34260;1648,4;2613,8;3188;2396;3561;1165
ID 7331;127274;1808,5;2288,2;2800;2628;2897;269
ID 7332;132203;2042,5;2167,6;2797;2536;2926;390
ID 7333;75230;1714,3;2405,9;3197;2709;3434;725
ID 7334;127303;1768,5;2952;3623;2751;3817;1066
ID 7335;104966;1717,7;2071,8;2736;2315;2844;529
ID 7336;70997;1648,8;2001,8;2716;2513;2806;293
ID 7337;110526;1857,3;2212,2;2779;2443;2936;493
ID 7338;151546;2027,9;2146,4;2695;2507;2756;249
ID 7339;208749;2175,2;2843,2;3158;2993;3261;268
ID 7340;96474;1809,9;1981,3;2478;2039;2641;602
ID 8111;623738;1966,8;3427,6;4055;3336;4642;1306
ID 8115;381281;1946,8;3449,1;4287;3087;4733;1646
ID 8116;524127;1958,6;2929,5;3544;2879;3910;1031
ID 8117;252749;1856,3;2728,1;3234;2724;3490;766
ID 8118;534074;1947;2991,1;3455;2920;3762;842
ID 8119;419456;1972,2;2655,5;3242;2752;3515;763
ID 8121;122567;3450,7;2318,1;3175;2853;3452;599
ID 8125;334388;1910,6;3065,1;3501;2713;3917;1204
ID 8126;110181;1884,1;2883,8;3319;2829;3513;684
ID 8127;191614;1780,8;2589,9;3110;2558;3341;783
ID 8128;132181;1804;2459,1;3013;2497;3179;682
ID 8135;130527;1812,1;2783,4;3407;2871;3663;792
ID 8136;312650;1856,3;2778,7;3437;2783;3722;939
ID 8211;54160;2412,7;2626,8;3142;2693;3432;739
ID 8212;307755;1781,9;2956,2;3495;3075;3786;711
ID 8215;435841;1880,3;2688,9;3124;2627;3344;717
ID 8216;227474;1799,4;2971,8;3566;2787;3882;1095
ID 8221;156267;1845,8;2783,4;3457;3119;3873;754
ID 8222;305780;1645,1;3065,3;3653;3175;3983;808
ID 8225;142936;1723,3;2403;2983;2467;3167;700
